Generation,Strategy,Share,Mean,CI_lower,CI_upper,Population,Total_Generations,Mutation,SCB,Rounds,Repeats,Seed,Epsilon,payoffs
33,CONTRITE,0.402729,5.38506,2.37077,8.39936,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
33,PAVLOV,0.056203,5.12475,2.25637,7.99313,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
33,GRIM,0.0591366,5.05492,2.22212,7.88771,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
34,ALLC,0.299073,5.43765,2.39313,8.48217,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
34,CAUTIOUS,0.185749,5.33758,2.34922,8.32595,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
34,CONTRITE,0.406318,5.41451,2.38336,8.44567,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
34,PAVLOV,0.0532461,5.08434,2.23841,7.93026,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
34,GRIM,0.0556138,5.04699,2.21822,7.87576,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
35,ALLC,0.299905,5.40863,2.37986,8.43739,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
35,CAUTIOUS,0.185173,5.37691,2.36615,8.38766,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
35,CONTRITE,0.411233,5.45889,2.40255,8.51523,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
35,PAVLOV,0.0506994,5.13567,2.26083,8.0105,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
35,GRIM,0.0529896,5.13913,2.25803,8.02023,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
36,ALLC,0.302861,5.44069,2.3937,8.48768,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
36,CAUTIOUS,0.182764,5.31749,2.34007,8.29492,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
36,CONTRITE,0.415279,5.44058,2.39405,8.48712,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
36,PAVLOV,0.0480768,5.10889,2.24877,7.96901,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
36,GRIM,0.051019,5.18722,2.2792,8.09524,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
37,ALLC,0.30515,5.44788,2.39663,8.49913,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
37,CAUTIOUS,0.181625,5.37332,2.36399,8.38265,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
37,CONTRITE,0.419626,5.46362,2.40394,8.5233,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
37,PAVLOV,0.045606,5.12914,2.25744,8.00084,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
37,GRIM,0.0479934,5.08637,2.23417,7.93857,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
38,ALLC,0.310295,5.46195,2.40247,8.52144,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
